,link,title,price,previous_month_bought_count,card_offer,review_rating,delivery_detail
424,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToyMjYwMDIzODkxMDMzNjU6MTcyODEzOTUyODpzcF9idGY6MzAwMjQzMDUyNzU1MDMyOjowOjo&url=%2FAllen-Solly-Skinny-Jeans-ALDNVSKFT51745_Navy_36%2Fdp%2FB099NR3M2Z%2Fref%3Dsr_1_57_sspa%3Fcrid%3D24IEEX0MBW072%26dib%3DeyJ2IjoiMSJ9.loW9tDrkb73dvNPalTNrmPld8m7huH6cF5g_YkNmEAm9qODA-taMg5ibmmJXAdn3w18_Ama_S4836s1iM1YtBIdpk_a88sovlz0jYKb8UgeyxfvDd1yNA7BrvReQL8dHeTsmBCUr4vG9wTfYE_IXjcEtx4Z9Yg_WV3zVa7cZhyV3SPxEo2p1Htxigkn7RWNyKzINhtwKuJdv5R3jaMrGucUaA8BClw9zNNqjHAMpciugupuFm20Jj8eOG6lU42dRYTXf80v8ApAF0EChkl1-KMQjfTn99KKJ17d9OvtZONs.gM2UxYQACutxLYDMZ0XW9AekUQGSbRmRfPruooS2c3Q%26dib_tag%3Dse%26keywords%3Djeans%26qid%3D1728139528%26sprefix%3Djeans%252Caps%252C212%26sr%3D8-57-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,Allen Solly,"₹879₹879 M.R.P: ₹2,199₹2,199 (60% off)",100+ bought in past month,Allen Solly,3.5 out of 5 stars 395  , FREE Delivery by Amazon
425,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMTExMDc5NDA5MjIxMDk1OjE3MjgxMzk2NDI6c3BfYXRmX25leHQ6MzAwMTU5MzM0MTc0NDMyOjowOjo&url=%2FLevis-Mens-Jeans-18298-1257_Mid-Indigo_36%2Fdp%2FB09Z76ZZMG%2Fref%3Dsr_1_1106_sspa%3Fcrid%3D24IEEX0MBW072%26keywords%3Djeans%26qid%3D1728139642%26sprefix%3Djeans%252Caps%252C212%26sr%3D8-1106-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,Levi's,"₹1,529₹1,529 M.R.P: ₹3,399₹3,399 (55% off)",50+ bought in past month,Levi's,3.7 out of 5 stars 586  , FREE Delivery by Amazon
426,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMTExMDc5NDA5MjIxMDk1OjE3MjgxMzk2NDI6c3BfYXRmX25leHQ6MzAwMTU5MzIxMzUzOTMyOjowOjo&url=%2FLevis-Mens-Jeans-18298-1246_Light-Indigo_30%2Fdp%2FB09Z781MP3%2Fref%3Dsr_1_1107_sspa%3Fcrid%3D24IEEX0MBW072%26keywords%3Djeans%26qid%3D1728139642%26sprefix%3Djeans%252Caps%252C212%26sr%3D8-1107-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,Levi's,"₹1,349₹1,349 M.R.P: ₹2,999₹2,999 (55% off)",50+ bought in past month,Levi's,"3.9 out of 5 stars 1,319  ", FREE Delivery by Amazon
427,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMTExMDc5NDA5MjIxMDk1OjE3MjgxMzk2NDI6c3BfYXRmX25leHQ6MzAwMTU5MzE2NDM3MzMyOjowOjo&url=%2FLevis-Mens-Tapered-Jeans-A7086-0097_Blue%2Fdp%2FB0C6QTMZ5T%2Fref%3Dsr_1_1108_sspa%3Fcrid%3D24IEEX0MBW072%26keywords%3Djeans%26qid%3D1728139642%26sprefix%3Djeans%252Caps%252C212%26sr%3D8-1108-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,Levi's,"₹1,529₹1,529 M.R.P: ₹3,399₹3,399 (55% off)",50+ bought in past month,Levi's,3.8 out of 5 stars 449  , FREE Delivery by Amazon
428,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMTExMDc5NDA5MjIxMDk1OjE3MjgxMzk2NDI6c3BfbXRmOjMwMDI0NzY1MzMyNTAzMjo6MDo6&url=%2FPepe-Jeans-Mens-PM206738Q053_Light-WASH_28%2Fdp%2FB09Q6BXSWL%2Fref%3Dsr_1_1109_sspa%3Fcrid%3D24IEEX0MBW072%26keywords%3Djeans%26qid%3D1728139642%26sprefix%3Djeans%252Caps%252C212%26sr%3D8-1109-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,Pepe Jeans,"₹2,469₹2,469 M.R.P: ₹5,999₹5,999 (59% off)",M.R.P: ,Pepe Jeans,5.0 out of 5 stars 2  , FREE Delivery by Amazon
429,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMTExMDc5NDA5MjIxMDk1OjE3MjgxMzk2NDI6c3BfbXRmOjMwMDMwNjExMDAzODczMjo6MDo6&url=%2FPeter-England-Mens-Jeans-PJDNASTFH21074_Navy_92%2Fdp%2FB0C1RXM6XQ%2Fref%3Dsr_1_1110_sspa%3Fcrid%3D24IEEX0MBW072%26keywords%3Djeans%26qid%3D1728139642%26sprefix%3Djeans%252Caps%252C212%26sr%3D8-1110-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,Peter England,"₹1,029₹1,029 M.R.P: ₹2,299₹2,299 (55% off)",M.R.P: ,Peter England,3.5 out of 5 stars 147  , FREE Delivery by Amazon
430,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMTExMDc5NDA5MjIxMDk1OjE3MjgxMzk2NDI6c3BfbXRmOjMwMDI2MDE5MjU0NjYzMjo6MDo6&url=%2FSpykar-Mens-Slim-Jeans-EMDKN1BD009_MID%2Fdp%2FB0CTMX98PS%2Fref%3Dsr_1_1111_sspa%3Fcrid%3D24IEEX0MBW072%26keywords%3Djeans%26qid%3D1728139642%26sprefix%3Djeans%252Caps%252C212%26sr%3D8-1111-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,Spykar,"₹899₹899 M.R.P: ₹3,299₹3,299 (73% off)",M.R.P: ,Spykar,4.1 out of 5 stars 8  ,FREE Delivery by Amazon
431,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMTExMDc5NDA5MjIxMDk1OjE3MjgxMzk2NDI6c3BfbXRmOjMwMDE1OTMyMTM1MTMzMjo6MDo6&url=%2FLevis-Mens-Jeans-36087-0637_Light-Indigo_36%2Fdp%2FB09Z79M4SS%2Fref%3Dsr_1_1112_sspa%3Fcrid%3D24IEEX0MBW072%26keywords%3Djeans%26qid%3D1728139642%26sprefix%3Djeans%252Caps%252C212%26sr%3D8-1112-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,Levi's,"₹1,049₹1,049 M.R.P: ₹2,999₹2,999 (65% off)",100+ bought in past month,Levi's,3.9 out of 5 stars 615  , FREE Delivery by Amazon
432,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMTExMDc5NDA5MjIxMDk1OjE3MjgxMzk2NDI6c3BfYnRmOjMwMDE2OTUyMTYyNDUzMjo6MDo6&url=%2FLevis-Mens-Tapered-Jeans-A7086-0112_Black%2Fdp%2FB0CRRW5WFZ%2Fref%3Dsr_1_1113_sspa%3Fcrid%3D24IEEX0MBW072%26keywords%3Djeans%26qid%3D1728139642%26sprefix%3Djeans%252Caps%252C212%26sr%3D8-1113-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,Levi's,"₹1,439₹1,439 M.R.P: ₹3,199₹3,199 (55% off)",100+ bought in past month,Levi's,4.0 out of 5 stars 29  , FREE Delivery by Amazon
433,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTozMTExMDc5NDA5MjIxMDk1OjE3MjgxMzk2NDI6c3BfYnRmOjMwMDM0NTMwNTQwMDYzMjo6MDo6&url=%2FNeoStreak-Mens-Regular-Jeans-neoepsreg_Light%2Fdp%2FB0D2CZQMLH%2Fref%3Dsr_1_1114_sspa%3Fcrid%3D24IEEX0MBW072%26keywords%3Djeans%26qid%3D1728139642%26sprefix%3Djeans%252Caps%252C212%26sr%3D8-1114-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,Neostreak,"₹629₹629 M.R.P: ₹2,199₹2,199 (71% off)",M.R.P: ,Neostreak,3.6 out of 5 stars 34  , FREE Delivery by Amazon
